Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour
1,60,RL,65.0,8450,Pave,,Reg,Lvl
2,20,RL,80.0,9600,Pave,,Reg,Lvl
3,60,RL,68.0,11250,Pave,,IR1,Lvl
4,70,RL,60.0,9550,Pave,,IR1,Lvl
5,60,RL,84.0,14260,Pave,,IR1,Lvl
6,50,RL,85.0,14115,Pave,,IR1,Lvl
7,20,RL,75.0,10084,Pave,,Reg,Lvl
8,60,RL,,10382,Pave,,IR1,Lvl
9,50,RM,51.0,6120,Pave,,Reg,Lvl
10,190,RL,50.0,7420,Pave,,Reg,Lvl
11,20,RL,70.0,11200,Pave,,Reg,Lvl
12,60,RL,85.0,11924,Pave,,IR1,Lvl
13,20,RL,,12968,Pave,,IR2,Lvl
14,20,RL,91.0,10652,Pave,,IR1,Lvl
15,20,RL,,10920,Pave,,IR1,Lvl
16,45,RM,51.0,6120,Pave,,Reg,Lvl
17,20,RL,,11241,Pave,,IR1,Lvl
18,90,RL,72.0,10791,Pave,,Reg,Lvl
19,20,RL,66.0,13695,Pave,,Reg,Lvl
20,20,RL,70.0,7560,Pave,,Reg,Lvl
21,60,RL,101.0,14215,Pave,,IR1,Lvl
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk
23,20,RL,75.0,9742,Pave,,Reg,Lvl
24,120,RM,44.0,4224,Pave,,Reg,Lvl
25,20,RL,,8246,Pave,,IR1,Lvl
26,20,RL,110.0,14230,Pave,,Reg,Lvl
27,20,RL,60.0,7200,Pave,,Reg,Lvl
28,20,RL,98.0,11478,Pave,,Reg,Lvl
29,20,RL,47.0,16321,Pave,,IR1,Lvl
30,30,RM,60.0,6324,Pave,,IR1,Lvl
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl
32,20,RL,,8544,Pave,,IR1,Lvl
33,20,RL,85.0,11049,Pave,,Reg,Lvl
34,20,RL,70.0,10552,Pave,,IR1,Lvl
35,120,RL,60.0,7313,Pave,,Reg,Lvl
36,60,RL,108.0,13418,Pave,,Reg,Lvl
37,20,RL,112.0,10859,Pave,,Reg,Lvl
38,20,RL,74.0,8532,Pave,,Reg,Lvl
39,20,RL,68.0,7922,Pave,,Reg,Lvl
40,90,RL,65.0,6040,Pave,,Reg,Lvl
41,20,RL,84.0,8658,Pave,,Reg,Lvl
42,20,RL,115.0,16905,Pave,,Reg,Lvl
43,85,RL,,9180,Pave,,IR1,Lvl
44,20,RL,,9200,Pave,,IR1,Lvl
45,20,RL,70.0,7945,Pave,,Reg,Lvl
46,120,RL,61.0,7658,Pave,,Reg,Lvl
47,50,RL,48.0,12822,Pave,,IR1,Lvl
48,20,FV,84.0,11096,Pave,,Reg,Lvl
49,190,RM,33.0,4456,Pave,,Reg,Lvl
