date,total_amount
2008-12-31,80.55
2022-10-24,337.27
2022-10-25,423.21999999999997
2022-12-31,658.23
2023-01-01,2347474.51
2023-01-02,2033444.79
2023-01-03,2488095.37
2023-01-04,2645252.0
2023-01-05,2734582.83
2023-01-06,2713405.82
2023-01-07,2663632.38
2023-01-08,2405499.78
2023-01-09,2372112.11
2023-01-10,2630358.62
2023-01-11,2768538.41
2023-01-12,3059892.1
2023-01-13,3085231.0
2023-01-14,2924021.65
2023-01-15,2608082.32
2023-01-16,2297121.36
2023-01-17,2815076.05
2023-01-18,2860057.87
2023-01-19,3068876.8
2023-01-20,2927241.05
2023-01-21,2767060.01
2023-01-22,2451610.54
2023-01-23,2432855.02
2023-01-24,2726300.03
2023-01-25,2806736.28
2023-01-26,3100411.71
2023-01-27,2972187.57
2023-01-28,2764630.92
2023-01-29,2417267.6
2023-01-30,2309069.64
2023-01-31,2667253.0
2023-02-01,313.81
